TIMESTAMP;TASK_INSTANCE_ID;NAME;ORDER_NUM;ELAPSED_TIME
41:58,8;16;scew_4;14;9052
42:10,2;16;ring;15;11354
42:19,2;16;dummy_piston;16;8994
42:33,3;17;bottom;1;
42:35,5;17;piston;2;2189
42:40,3;17;small_spring;3;4841
42:44,0;17;cap;4;3693
42:52,6;17;hex_screw_1;5;8561
43:08,9;17;hex_screw_2;6;16359
43:24,0;17;valve;7;15105
43:28,5;17;top;8;4477
43:30,2;17;hex_piston;9;1733
43:49,2;17;large_spring;10;19003
43:59,9;17;screw_1;11;10632
44:33,4;17;scew_2;12;33517
44:44,0;17;scew_3;13;10563
44:53,6;17;scew_4;14;9677
45:05,2;17;ring;15;11563
45:14,3;17;dummy_piston;16;9124
45:35,4;18;bottom;1;
45:41,5;18;piston;2;6094
45:45,1;18;small_spring;3;3542
45:47,6;18;cap;4;2524
45:56,1;18;hex_screw_1;5;8489
46:08,6;18;hex_screw_2;6;12555
46:21,9;18;valve;7;13244
46:26,6;18;top;8;4697
46:28,6;18;hex_piston;9;2009
46:34,7;18;large_spring;10;6098
46:41,1;18;screw_1;11;6428
47:00,9;18;scew_2;12;19787
47:13,5;18;scew_3;13;12634
47:23,1;18;scew_4;14;9531
47:32,1;18;ring;15;9084
47:41,6;18;dummy_piston;16;9486
48:02,7;19;bottom;1;
48:04,6;19;piston;2;1947
48:08,5;19;small_spring;3;3902
48:10,9;19;cap;4;2395
48:23,9;19;hex_screw_1;5;12980
48:41,2;19;hex_screw_2;6;17366
48:51,9;19;valve;7;10631
48:56,8;19;top;8;4925
48:59,4;19;hex_piston;9;2605
49:05,7;19;large_spring;10;6248
49:19,5;19;screw_1;11;13808
49:31,9;19;scew_2;12;12396
49:41,9;19;scew_3;13;10040
49:51,6;19;scew_4;14;9706
50:02,3;19;ring;15;10688
50:13,5;19;dummy_piston;16;11248
50:27,7;20;bottom;1;
50:29,6;20;piston;2;1952
50:33,4;20;small_spring;3;3729
50:37,7;20;cap;4;4314
50:50,4;20;hex_screw_1;5;12707
50:58,4;20;hex_screw_2;6;8029
51:11,7;20;valve;7;13312
51:17,0;20;top;8;5243
51:22,5;20;hex_piston;9;5579
51:28,2;20;large_spring;10;5696
51:38,4;20;screw_1;11;10181
51:50,7;20;scew_2;12;12307
51:51,0;20;scew_3;13;272
52:12,5;20;scew_4;14;21464
52:22,6;20;ring;15;10147
52:40,5;20;dummy_piston;16;17889
52:52,9;21;bottom;1;
52:55,0;21;piston;2;2175
52:58,6;21;small_spring;3;3594
53:01,0;21;cap;4;2407
53:20,4;21;hex_screw_1;5;19327
53:29,9;21;hex_screw_2;6;9568
53:40,4;21;valve;7;10500
53:44,5;21;top;8;4036
53:46,9;21;hex_piston;9;2453
53:50,1;21;large_spring;10;3218
53:58,2;21;screw_1;11;8089
54:13,1;21;scew_2;12;14896
54:24,9;21;scew_3;13;11791
54:35,8;21;scew_4;14;10891
54:49,6;21;ring;15;13792
55:03,8;21;dummy_piston;16;14155
00:53,8;22;bottom;1;
00:56,6;22;piston;2;2823
01:02,0;22;small_spring;3;5423
01:06,4;22;cap;4;4389
01:18,4;22;hex_screw_1;5;12021
01:35,3;22;hex_screw_2;6;16900
01:52,7;22;valve;7;17363
01:57,5;22;top;8;4817
02:00,7;22;hex_piston;9;3252
02:07,8;22;large_spring;10;7025
02:18,5;22;screw_1;11;10765
02:34,7;22;scew_2;12;16135
02:51,4;22;scew_3;13;16726
03:03,4;22;scew_4;14;12041
03:13,9;22;ring;15;10431
03:22,7;22;dummy_piston;16;8798
03:45,8;23;bottom;1;
03:48,0;23;piston;2;2194
03:52,7;23;small_spring;3;4732
03:56,2;23;cap;4;3535
04:10,4;23;hex_screw_1;5;14179
04:20,0;23;hex_screw_2;6;9583
04:34,1;23;valve;7;14105
04:38,2;23;top;8;4092
04:40,8;23;hex_piston;9;2661
04:47,1;23;large_spring;10;6233
05:01,2;23;screw_1;11;14101
05:21,0;23;scew_2;12;19775
05:47,7;23;scew_3;13;26787
05:47,8;23;scew_4;14;68
05:47,9;23;ring;15;83
06:16,4;23;dummy_piston;16;28500
06:35,0;24;bottom;1;
06:36,9;24;piston;2;1909
06:40,5;24;small_spring;3;3550
06:45,0;24;cap;4;4495
06:53,8;24;hex_screw_1;5;8806
07:27,3;24;hex_screw_2;6;33500
07:44,6;24;valve;7;17320
07:50,6;24;top;8;6052
07:53,2;24;hex_piston;9;2528
08:02,7;24;large_spring;10;9574
08:15,8;24;screw_1;11;13074
08:30,7;24;scew_2;12;14899
08:44,4;24;scew_3;13;13725
09:00,8;24;scew_4;14;16322
09:16,2;24;ring;15;15437
09:25,9;24;dummy_piston;16;9725
09:45,6;25;bottom;1;
09:47,2;25;piston;2;1587
09:51,0;25;small_spring;3;3823
09:54,1;25;cap;4;3066
10:04,7;25;hex_screw_1;5;10580
10:27,3;25;hex_screw_2;6;22687
10:45,2;25;valve;7;17833
10:51,5;25;top;8;6292
10:54,3;25;hex_piston;9;2877
10:59,0;25;large_spring;10;4688
11:02,5;25;screw_1;11;3427
11:29,0;25;scew_2;12;26496
12:02,0;25;scew_3;13;33041
12:02,1;25;scew_4;14;88
12:22,5;25;ring;15;20406
12:38,6;25;dummy_piston;16;16124
13:01,2;26;bottom;1;
13:04,1;26;piston;2;2871
13:08,1;26;small_spring;3;3948
13:11,9;26;cap;4;3819
13:20,5;26;hex_screw_1;5;8592
13:42,0;26;hex_screw_2;6;21492
14:02,1;26;valve;7;20156
14:12,2;26;top;8;10062
14:15,4;26;hex_piston;9;3187
14:24,3;26;large_spring;10;8916
14:49,5;26;screw_1;11;25226
15:08,7;26;scew_2;12;19148
15:26,2;26;scew_3;13;17548
15:39,4;26;scew_4;14;13161
15:51,5;26;ring;15;12118
15:59,8;26;dummy_piston;16;8309
16:16,5;27;bottom;1;
16:18,5;27;piston;2;2035
16:22,4;27;small_spring;3;3878
16:25,8;27;cap;4;3423
16:39,6;27;hex_screw_1;5;13807
16:57,1;27;hex_screw_2;6;17505
17:23,8;27;valve;7;26639
17:31,5;27;top;8;7705
17:33,9;27;hex_piston;9;2429
17:39,6;27;large_spring;10;5698
17:43,3;27;screw_1;11;3698
18:06,4;27;scew_2;12;23103
18:36,6;27;scew_3;13;30238
18:50,3;27;scew_4;14;13623
19:02,3;27;ring;15;12051
19:20,5;27;dummy_piston;16;18211
19:29,0;28;bottom;1;
19:30,9;28;piston;2;1947
19:34,6;28;small_spring;3;3720
19:38,0;28;cap;4;3375
19:46,7;28;hex_screw_1;5;8675
20:16,0;28;hex_screw_2;6;29288
20:32,8;28;valve;7;16787
20:38,8;28;top;8;6083
20:41,4;28;hex_piston;9;2504
21:05,0;28;large_spring;10;23694
22:05,3;28;screw_1;11;60300
22:21,9;28;scew_2;12;16517
22:35,1;28;scew_3;13;13261
22:46,4;28;scew_4;14;11323
22:59,4;28;ring;15;12956
23:06,8;28;dummy_piston;16;7441
23:19,0;29;bottom;1;
23:21,8;29;piston;2;2803
23:27,0;29;small_spring;3;5115
23:32,0;29;cap;4;5013
23:42,3;29;hex_screw_1;5;10332
24:01,8;29;hex_screw_2;6;19446
24:21,0;29;valve;7;19264
24:26,9;29;top;8;5882
24:31,2;29;hex_piston;9;4270
24:39,8;29;large_spring;10;8642
24:43,3;29;screw_1;11;3505
25:08,2;29;scew_2;12;24873
25:21,5;29;scew_3;13;13345
25:35,2;29;scew_4;14;13649
25:45,8;29;ring;15;10580
25:54,8;29;dummy_piston;16;8993
26:31,8;30;bottom;1;
26:34,2;30;piston;2;2338
26:41,1;30;small_spring;3;6890
26:46,3;30;cap;4;5185
26:58,9;30;hex_screw_1;5;12618
27:19,3;30;hex_screw_2;6;20407
27:33,5;30;valve;7;14265
27:40,1;30;top;8;6540
27:42,7;30;hex_piston;9;2591
27:55,5;30;large_spring;10;12789
28:13,0;30;screw_1;11;17510
28:28,8;30;scew_2;12;15782
28:40,4;30;scew_3;13;11684
28:52,2;30;scew_4;14;11743
29:04,2;30;ring;15;12024
29:13,8;30;dummy_piston;16;9569
29:26,6;31;bottom;1;
29:28,7;31;piston;2;2142
29:32,3;31;small_spring;3;3568
29:35,6;31;cap;4;3274
29:46,6;31;hex_screw_1;5;11026
30:01,2;31;hex_screw_2;6;14568
30:18,1;31;valve;7;16894
30:21,9;31;top;8;3862
30:24,2;31;hex_piston;9;2301
30:34,3;31;large_spring;10;10016
30:42,7;31;screw_1;11;8435
30:57,0;31;scew_2;12;14291
31:17,6;31;scew_3;13;20626
31:26,9;31;scew_4;14;9283
31:35,8;31;ring;15;8903
31:44,2;31;dummy_piston;16;8449
32:08,8;32;bottom;1;
32:10,9;32;piston;2;2135
32:17,2;32;small_spring;3;6272
32:21,0;32;cap;4;3858
32:31,3;32;hex_screw_1;5;10325
32:48,8;32;hex_screw_2;6;17469
33:01,1;32;valve;7;12317
33:05,9;32;top;8;4796
33:08,0;32;hex_piston;9;2050
33:17,7;32;large_spring;10;9698
33:21,3;32;screw_1;11;3634
33:50,0;32;scew_2;12;28712
34:00,8;32;scew_3;13;10828
34:13,3;32;scew_4;14;12450
34:26,5;32;ring;15;13219
34:33,7;32;dummy_piston;16;7176
34:52,1;33;bottom;1;
34:54,1;33;piston;2;2051
34:58,1;33;small_spring;3;3963
35:02,0;33;cap;4;3888
35:10,4;33;hex_screw_1;5;8450
35:29,8;33;hex_screw_2;6;19391
35:43,7;33;valve;7;13835
35:48,4;33;top;8;4718
35:50,8;33;hex_piston;9;2476
35:59,1;33;large_spring;10;8278
36:02,6;33;screw_1;11;3487
36:25,4;33;scew_2;12;22762
36:37,6;33;scew_3;13;12188
36:46,1;33;scew_4;14;8558
36:46,6;33;ring;15;508
37:04,0;33;dummy_piston;16;17332
37:25,4;34;bottom;1;
37:26,8;34;piston;2;1372
37:30,4;34;small_spring;3;3634
37:33,4;34;cap;4;2993
37:41,6;34;hex_screw_1;5;8181
37:58,6;34;hex_screw_2;6;16995
38:15,7;34;valve;7;17165
38:19,6;34;top;8;3828
38:22,4;34;hex_piston;9;2838
38:35,3;34;large_spring;10;12910
38:56,0;34;screw_1;11;20712
39:12,3;34;scew_2;12;16239
39:26,1;34;scew_3;13;13876
39:35,6;34;scew_4;14;9470
39:44,8;34;ring;15;9207
39:54,2;34;dummy_piston;16;9388
40:09,2;35;bottom;1;
40:11,1;35;piston;2;1876
40:14,6;35;small_spring;3;3522
40:18,2;35;cap;4;3587
40:31,4;35;hex_screw_1;5;13163
40:45,5;35;hex_screw_2;6;14108
40:57,9;35;valve;7;12381
41:03,9;35;top;8;5988
41:06,2;35;hex_piston;9;2304
41:14,0;35;large_spring;10;7824
41:17,9;35;screw_1;11;3919
41:34,8;35;scew_2;12;16865
41:45,3;35;scew_3;13;10498
41:53,9;35;scew_4;14;8661
42:02,6;35;ring;15;8705
42:17,8;35;dummy_piston;16;15213
42:42,0;36;bottom;1;
42:43,8;36;piston;2;1809
42:47,1;36;small_spring;3;3378
42:50,4;36;cap;4;3224
43:09,4;36;hex_screw_1;5;19052
43:25,2;36;hex_screw_2;6;15815
43:41,5;36;valve;7;16249
43:45,9;36;top;8;4386
43:48,7;36;hex_piston;9;2802
43:56,8;36;large_spring;10;8114
44:00,9;36;screw_1;11;4096
44:21,5;36;scew_2;12;20619
44:33,6;36;scew_3;13;12057
44:44,1;36;scew_4;14;10526
44:54,2;36;ring;15;10073
45:08,8;36;dummy_piston;16;14629
45:27,8;37;bottom;1;
45:30,1;37;piston;2;2230
45:33,5;37;small_spring;3;3434
45:37,0;37;cap;4;3448
45:45,0;37;hex_screw_1;5;8084
45:57,3;37;hex_screw_2;6;12271
46:16,1;37;valve;7;18833
46:20,2;37;top;8;4061
46:22,7;37;hex_piston;9;2530
46:34,1;37;large_spring;10;11316
46:44,6;37;screw_1;11;10518
46:57,0;37;scew_2;12;12425
47:21,2;37;scew_3;13;24231
47:25,3;37;scew_4;14;4067
47:38,9;37;ring;15;13637
47:48,4;37;dummy_piston;16;9500
48:04,7;38;bottom;1;
48:07,0;38;piston;2;2311
48:11,8;38;small_spring;3;4737
48:18,7;38;cap;4;6997
48:32,3;38;hex_screw_1;5;13566
48:44,7;38;hex_screw_2;6;12416
48:59,6;38;valve;7;14877
49:04,0;38;top;8;4440
49:07,0;38;hex_piston;9;3002
49:12,9;38;large_spring;10;5806
49:25,2;38;screw_1;11;12332
49:44,7;38;scew_2;12;19527
49:57,5;38;scew_3;13;12762
50:08,5;38;scew_4;14;10986
50:18,1;38;ring;15;9642
50:26,8;38;dummy_piston;16;8732
50:42,4;39;bottom;1;
50:44,6;39;piston;2;2142
50:48,2;39;small_spring;3;3565
50:51,8;39;cap;4;3596
51:03,0;39;hex_screw_1;5;11247
51:31,1;39;hex_screw_2;6;28103
51:57,2;39;valve;7;26136
52:01,9;39;top;8;4669
52:04,8;39;hex_piston;9;2908
52:11,7;39;large_spring;10;6877
52:27,9;39;screw_1;11;16190
52:51,0;39;scew_2;12;23153
53:18,4;39;scew_3;13;27327
53:31,5;39;scew_4;14;13160
53:41,7;39;ring;15;10226
53:54,5;39;dummy_piston;16;12726
54:15,0;40;bottom;1;
54:17,3;40;piston;2;2287
54:25,9;40;small_spring;3;8673
54:30,2;40;cap;4;4274
54:46,0;40;hex_screw_1;5;15762
55:00,5;40;hex_screw_2;6;14545
55:19,1;40;valve;7;18605
55:23,1;40;top;8;4005
55:25,8;40;hex_piston;9;2683
55:36,9;40;large_spring;10;11061
55:47,6;40;screw_1;11;10772
56:00,1;40;scew_2;12;12495
56:10,3;40;scew_3;13;10140
56:21,8;40;scew_4;14;11540
56:31,3;40;ring;15;9518
56:45,8;40;dummy_piston;16;14434
56:56,4;41;bottom;1;
56:58,9;41;piston;2;2504
57:01,9;41;small_spring;3;2930
57:05,0;41;cap;4;3160
57:15,2;41;hex_screw_1;5;10135
57:27,2;41;hex_screw_2;6;12063
57:41,1;41;valve;7;13876
57:45,0;41;top;8;3907
57:47,3;41;hex_piston;9;2286
57:53,5;41;large_spring;10;6194
58:04,4;41;screw_1;11;10949
58:21,4;41;scew_2;12;16926
58:32,4;41;scew_3;13;11077
58:40,9;41;scew_4;14;8511
58:50,5;41;ring;15;9541
58:57,0;41;dummy_piston;16;6492
03:32,4;42;bottom;1;
03:35,0;42;piston;2;2624
03:45,7;42;small_spring;3;10656
03:49,4;42;cap;4;3715
04:05,3;42;hex_screw_1;5;15945
04:16,6;42;hex_screw_2;6;11293
04:20,0;42;valve;7;3425
04:36,9;42;top;8;16893
04:39,3;42;hex_piston;9;2398
04:45,2;42;large_spring;10;5832
04:52,5;42;screw_1;11;7336
05:30,9;42;scew_2;12;38433
06:11,7;42;scew_3;13;40751
06:22,3;42;scew_4;14;10634
06:31,5;42;ring;15;9197
06:41,9;42;dummy_piston;16;10361
06:57,8;43;bottom;1;
07:00,7;43;piston;2;2871
07:10,6;43;small_spring;3;9887
07:14,2;43;cap;4;3662
07:24,8;43;hex_screw_1;5;10516
07:37,0;43;hex_screw_2;6;12285
07:52,7;43;valve;7;15634
07:58,7;43;top;8;6032
08:03,2;43;hex_piston;9;4463
08:09,8;43;large_spring;10;6621
08:16,9;43;screw_1;11;7160
08:31,3;43;scew_2;12;14388
08:45,3;43;scew_3;13;13930
08:55,2;43;scew_4;14;9912
08:55,5;43;ring;15;363
09:16,9;43;dummy_piston;16;21387
09:37,4;44;bottom;1;
09:42,8;44;piston;2;5431
09:46,8;44;small_spring;3;3942
09:50,3;44;cap;4;3565
09:59,9;44;hex_screw_1;5;9593
10:14,4;44;hex_screw_2;6;14509
10:32,1;44;valve;7;17626
10:39,9;44;top;8;7830
10:43,3;44;hex_piston;9;3464
10:49,5;44;large_spring;10;6193
10:57,5;44;screw_1;11;8006
11:12,6;44;scew_2;12;15036
11:22,3;44;scew_3;13;9727
11:32,8;44;scew_4;14;10518
11:45,7;44;ring;15;12827
11:52,4;44;dummy_piston;16;6756
12:05,6;45;bottom;1;
12:09,4;45;piston;2;3807
12:14,7;45;small_spring;3;5296
12:18,4;45;cap;4;3731
12:30,5;45;hex_screw_1;5;12027
12:48,8;45;hex_screw_2;6;18381
13:07,3;45;valve;7;18499
13:12,6;45;top;8;5228
13:54,2;45;hex_piston;9;41660
14:04,5;45;large_spring;10;10313
14:14,8;45;screw_1;11;10241
14:27,7;45;scew_2;12;12934
14:37,7;45;scew_3;13;10022
14:53,4;45;scew_4;14;15687
15:02,7;45;ring;15;9288
15:14,8;45;dummy_piston;16;12121
15:32,2;46;bottom;1;
15:34,7;46;piston;2;2465
15:39,0;46;small_spring;3;4335
15:41,9;46;cap;4;2888
15:53,7;46;hex_screw_1;5;11772
16:06,5;46;hex_screw_2;6;12805
16:20,8;46;valve;7;14257
16:27,1;46;top;8;6324
16:31,0;46;hex_piston;9;3966
16:36,7;46;large_spring;10;5687
16:42,5;46;screw_1;11;5747
17:03,0;46;scew_2;12;20493
17:13,6;46;scew_3;13;10630
17:25,3;46;scew_4;14;11701
17:39,2;46;ring;15;13917
17:49,6;46;dummy_piston;16;10350
18:03,9;47;bottom;1;
18:06,5;47;piston;2;2599
18:09,7;47;small_spring;3;3228
18:12,1;47;cap;4;2377
18:23,4;47;hex_screw_1;5;11255
18:35,1;47;hex_screw_2;6;11697
18:46,3;47;valve;7;11285
18:52,9;47;top;8;6581
18:56,6;47;hex_piston;9;3721
19:02,1;47;large_spring;10;5463
19:10,2;47;screw_1;11;8145
19:22,5;47;scew_2;12;12261
19:33,3;47;scew_3;13;10768
19:43,1;47;scew_4;14;9799
19:43,2;47;ring;15;87
20:08,0;47;dummy_piston;16;24842
20:29,3;48;bottom;1;
20:32,5;48;piston;2;3191
20:36,1;48;small_spring;3;3606
20:38,7;48;cap;4;2641
20:53,5;48;hex_screw_1;5;14748
21:07,1;48;hex_screw_2;6;13639
21:22,4;48;valve;7;15295
21:29,4;48;top;8;7006
21:31,2;48;hex_piston;9;1826
21:36,5;48;large_spring;10;5256
21:45,0;48;screw_1;11;8519
22:01,0;48;scew_2;12;16010
22:12,4;48;scew_3;13;11333
22:22,3;48;scew_4;14;9997
22:31,5;48;ring;15;9109
22:40,6;48;dummy_piston;16;9125
22:55,6;49;bottom;1;
22:57,2;49;piston;2;1600
23:05,4;49;small_spring;3;8213
23:08,4;49;cap;4;2995
23:17,9;49;hex_screw_1;5;9557
23:31,0;49;hex_screw_2;6;13012
23:49,8;49;valve;7;18856
23:56,3;49;top;8;6473
24:00,3;49;hex_piston;9;3993
24:04,7;49;large_spring;10;4381
24:15,8;49;screw_1;11;11140
24:28,2;49;scew_2;12;12440
24:39,5;49;scew_3;13;11222
24:49,2;49;scew_4;14;9692
24:57,3;49;ring;15;8139
25:08,0;49;dummy_piston;16;10695
